name,cc_fips
AIESEC Herat (CLOSED),AF
AIESEC Balkh (CLOSED),AF
AIESEC Karwan (CLOSED),AF
AIESEC KABUL,AF
AIESEC TIRANA UNIVERSITY,AL
AIESEC EUROPEAN UNIVERSITY OF TIRANA,AL
AIESEC CONSTANTINE,AG
AIESEC BABEZ,AG
AIESEC BLIDA,AG
AIESEC ORAN,AG
AIESEC ALGIERS (CLOSED),AG
AIESEC BENAK,AG
AIESEC LUANDA AN,AO
AIESEC TANDIL,AR
AIESEC SALTA (CLOSED),AR
AIESEC NORDESTE - ARGENTINA,AR
AIESEC BUENOS AIRES USAL,AR
AIESEC BUENOS AIRES,AR
AIESEC LA PLATA,AR
AIESEC NEUQUEN,AR
AIESEC BAHIA BLANCA,AR
AIESEC ROSARIO - ARGENTINA,AR
AIESEC SALTA,AR
AIESEC EXPANSIONS ARGENTINA,AR
AIESEC CORDOBA,AR
AIESEC BUENOS AIRES UBA FCE,AR
AIESEC LA PLATA (CLOSED) (CLOSED),AR
AIESEC MAR DEL PLATA (CLOSED),AR
AIESEC MENDOZA,AR
AIESEC ARMA-AC (CLOSED),AM
AIESEC ARMA-AU (CLOSED),AM
AIESEC SU (CLOSED),AM
AIESEC YEREVAN,AM
AIESEC CANBERRA (CLOSED),AS
AIESEC UNIVERSITY OF SOUTH AUSTRALIA (CLOSED),AS
AIESEC MURDOCH UNIVERSITY (CLOSED),AS
AIESEC UNIVERSITY OF QUEENSLAND,AS
AIESEC UNSW,AS
AIESEC MACQUARIE UNIVERSITY  (CLOSED),AS
AIESEC WOLLONGONG (CLOSED),AS
AIESEC ECU (CLOSED),AS
AIESEC BOND UNIVERSITY (CLOSED),AS
AIESEC GRIFFITH (CLOSED),AS
AIESEC  NTU (CLOSED),AS
AIESEC ADELAIDE (CLOSED),AS
AIESEC ANU (CLOSED),AS
AIESEC FLINDERS (CLOSED),AS
AIESEC FLINDERS UNI (CLOSED),AS
AIESEC SYDNEY,AS
AIESEC UWA,AS
AIESEC ANU (CLOSED),AS
AIESEC QUT (CLOSED),AS
AIESEC UTS (CLOSED),AS
AIESEC MELBOURNE,AS
AIESEC MONASH,AS
AIESEC RMIT (CLOSED),AS
AIESEC MACQUARIE,AS
AIESEC CURTIN UNIVERSITY,AS
AIESEC CURTIN (CLOSED),AS
AIESEC GRAZ,AU
AIESEC INNSBRUCK,AU
AIESEC VIENNA UV,AU
AIESEC VIENNA BOKU,AU
AIESEC VIENNA WU,AU
AIESEC LINZ,AU
AIESEC SALZBURG,AU
AIESEC KLAGENFURT (CLOSED),AU
AIESEC BAKU SYNERGY,AJ
AIESEC BAKU ADA,AJ
AIESEC MANAMA,BA
AIESEC SKHEER,BA
AIESEC ARADOS,BA
AIESEC AWAL,BA
AIESEC BRACU (CLOSED),BG
AIESEC NSU (CLOSED),BG
AIESEC AIUB (CLOSED),BG
AIESEC IUB (CLOSED),BG
AIESEC BRIDGETOWN,BD
AIESEC MINSK,BO
AIESEC HUB,BE
AIESEC MONS,BE
AIESEC VLEKHO (CLOSED),BE
AIESEC LIMBURG,BE
AIESEC UA,BE
AIESEC BRUXELLES (CLOSED),BE
AIESEC ULB,BE
AIESEC WAROCQUE (CLOSED),BE
AIESEC HEC LIEGE (CLOSED),BE
AIESEC ICHEC,BE
AIESEC ULG (CLOSED),BE
AIESEC SAINT-LOUIS,BE
AIESEC GENT,BE
AIESEC RUCA (CLOSED),BE
AIESEC VUB,BE
AIESEC LOUVAIN LA NEUVE,BE
AIESEC NAMUR (CLOSED),BE
AIESEC LEUVEN,BE
AIESEC EUB (CLOSED),BE
AIESEC UAC,BN
AIESEC ENEAM,BN
AIESEC ORURO,BL
AIESEC COCHABAMBA,BL
AIESEC SUCRE,BL
AIESEC SANTA CRUZ,BL
AIESEC LA PAZ,BL
AIESEC BANJA LUKA,BK
AIESEC VIRTUAL SU,BK
AIESEC MOSTAR,BK
AIESEC SARAJEVO,BK
AIESEC TUZLA (CLOSED),BK
AIESEC UNIVERSITY OF BOTSWANA,BD
AIESEC GIPS,BD
AIESEC LIMKOKWING,BD
AIESEC VITORIA,BR
AIESEC FRANCA,BR
AIESEC UBERLANDIA,BR
AIESEC GETULIO VARGAS,BR
AIESEC PELOTAS,BR
AIESEC FLORIANOPOLIS,BR
AIESEC RIO DE JANEIRO,BR
AIESEC ESPM,BR
AIESEC USP,BR
AIESEC RIBEIRAO PRETO,BR
AIESEC NOVO HAMBURGO (CLOSED),BR
AIESEC RECIFE,BR
AIESEC MANAUS,BR
AIESEC SALVADOR,BR
AIESEC FAAP (CLOSED),BR
AIESEC CURITIBA,BR
AIESEC JOAO PESSOA,BR
AIESEC SANTA CRUZ DO SUL,BR
AIESEC PUC SP,BR
AIESEC SANTA MARIA,BR
AIESEC PONTA GROSSA,BR
AIESEC BELO HORIZONTE,BR
AIESEC GOIANIA,BR
AIESEC CAXIAS DO SUL (CLOSED),BR
AIESEC LONDRINA,BR
AIESEC UNISINOS (CLOSED),BR
AIESEC BAURU,BR
AIESEC PORTO ALEGRE,BR
AIESEC JOINVILLE,BR
AIESEC CHAPECO,BR
AIESEC SANTOS,BR
AIESEC FORTALEZA,BR
AIESEC MARINGA,BR
AIESEC JUIZ DE FORA,BR
AIESEC SAO LUIS,BR
AIESEC FOZ DO IGUACU,BR
AIESEC SAO CARLOS,BR
AIESEC BRASILIA,BR
AIESEC ITAJUBA,BR
AIESEC SOROCABA,BR
AIESEC ITA,BR
AIESEC INSPER,BR
AIESEC CAMPINAS,BR
AIESEC ARACAJU,BR
AIESEC VARNA,BU
AIESEC SVISHTOV,BU
AIESEC VELIKO TURNOVO,BU
AIESEC GABROVO(CLOSED),BU
AIESEC PLOVDIV (CLOSED),BU
AIESEC SOFIA SU,BU
AIESEC SOFIA UNWE,BU
AIESEC BLAGOEVGRAD,BU
AIESEC SOFIA TU,BU
AIESEC UNIVERSITE DE OUAGADOUGOU,MC
AIESEC PP,CB
AIESEC LUCT,CB
AIESEC NUM AND UP,CB
AIESEC IFL,CB
AIESEC RULE,CB
AIESEC DSCHANG,CM
AIESEC BUEA,CM
AIESEC DOUALA,CM
AIESEC BAMENDA,CM
AIESEC YAOUNDE,CM
AIESEC LAVAL,CA
AIESEC SHERBROOKE,CA
AIESEC BISHOPS (CLOSED),CA
AIESEC UQAM,CA
AIESEC OTTAWA,CA
AIESEC LAURENTIAN (CLOSED),CA
AIESEC CHICOUTIMI (CLOSED),CA
AIESEC MEMORIAL,CA
AIESEC GUELPH,CA
AIESEC UNB FREDERICTON (CLOSED),CA
AIESEC LETHBRIDGE (CLOSED),CA
AIESEC THUNDER BAY(CLOSED),CA
AIESEC UQAT(CLOSED),CA
AIESEC REGINA (CLOSED),CA
AIESEC EDMONTON,CA
AIESEC VICTORIA,CA
AIESEC TROIS RIVIERES (CLOSED),CA
AIESEC YORK,CA
AIESEC DALHOUSIE(CLOSED),CA
AIESEC MCGILL,CA
AIESEC SFU,CA
AIESEC MCMASTER,CA
AIESEC MANITOBA,CA
AIESEC HALIFAX,CA
AIESEC TORONTO,CA
AIESEC UQAH (CLOSED),CA
AIESEC HEC,CA
AIESEC CARLETON,CA
AIESEC CALGARY,CA
AIESEC MONCTON (CLOSED),CA
AIESEC QUEENS,CA
AIESEC SASKATOON,CA
AIESEC RYERSON,CA
AIESEC WESTERN,CA
AIESEC CONCORDIA,CA
AIESEC UBC,CA
AIESEC KWANTLEN,CA
AIESEC LAURIER,CA
AIESEC WINDSOR,CA
AIESEC UNIVERSIDADE CABO VERDE,CV
AIESEC UDESANTIAGO,CI
AIESEC UNIVERSIDAD CATOLICA - CHILE,CI
AIESEC VALDIVIA (CLOSED),CI
AIESEC UNIVERSIDAD DE SANTIAGO (CLOSED),CI
AIESEC VALPARAISO,CI
AIESEC ESCUELA DE NEGOCIOS (CLOSED),CI
AIESEC ANTOFAGASTA,CI
AIESEC VINA DEL MAR (CLOSED),CI
AIESEC SANTIAGO - CHILE,CI
AIESEC CONCEPCION,CI
AIESEC DIEGO PORTALES (CLOSED),CI
AIESEC UFSM,CI
AIESEC TEMUCO,CI
AIESEC THU,CH
AIESEC RUC,CH
AIESEC SISU,CH
AIESEC XJTLU,CH
AIESEC SYSU,CH
AIESEC UNNC,CH
AIESEC HUST,CH
AIESEC QINGDAO,CH
AIESEC BISU,CH
AIESEC HIT,CH
AIESEC SJTU,CH
AIESEC BJTU,CH
AIESEC CHANGSHA,CH
AIESEC PKU,CH
AIESEC TJU,CH
AIESEC DUT,CH
AIESEC MU,CH
AIESEC NKU,CH
AIESEC ZZU,CH
AIESEC GDUFS,CH
AIESEC SHANGHAI (CLOSED),CH
AIESEC SWUFE,CH
AIESEC HFUT,CH
AIESEC BFSU,CH
AIESEC FDU,CH
AIESEC BEIJING (CLOSED),CH
AIESEC SZU,CH
AIESEC UIBE,CH
AIESEC NJU,CH
AIESEC JINAN,CH
AIESEC CQU,CH
AIESEC XJTU,CH
AIESEC XMU,CH
AIESEC ZJU,CH
AIESEC JLU,CH
AIESEC SCUT,CH
AIESEC BUAA,CH
AIESEC ECI,CO
AIESEC EAFIT,CO
AIESEC BUCARAMANGA,CO
AIESEC ROSARIO - COLOMBIA,CO
AIESEC EIA,CO
AIESEC TOLIMA,CO
AIESEC VALLEDUPAR,CO
AIESEC PEREIRA,CO
AIESEC EAN,CO
AIESEC ANDES,CO
AIESEC UNINORTE,CO
AIESEC ROSARIO (CLOSED),CO
AIESEC JAVERIANA,CO
AIESEC MANIZALES,CO
AIESEC CALI,CO
AIESEC UNIATLANTICO,CO
AIESEC SANTA MARTA,CO
AIESEC CARTAGENA,CO
AIESEC UCR,CS
AIESEC TEC,CS
AIESEC ULACIT,CS
AIESEC UIA (CLOSED),CS
AIESEC ITCR (CLOSED),CS
AIESEC BOUAKE,IV
AIESEC INSTEC,IV
AIESEC FUPA,IV
AIESEC UNIVERSITY OF LIBERIA (CLOSED),IV
AIESEC COCODY-ABIDJAN,IV
AIESEC TIRANA (CLOSED),HR
AIESEC PULA (CLOSED),HR
AIESEC RIJEKA,HR
AIESEC SPLIT,HR
AIESEC VARAZDIN,HR
AIESEC OPATIJA (CLOSED),HR
AIESEC ZSEM (CLOSED),HR
AIESEC ZAGREB,HR
AIESEC DUBROVNIK (CLOSED),HR
AIESEC OSIJEK,HR
AIESEC ZLIN,EZ
AIESEC CESKE BUDEJOVICE,EZ
AIESEC PILSEN,EZ
AIESEC BRNO,EZ
AIESEC PARDUBICE (CLOSED),EZ
AIESEC HRADEC KRALOVE,EZ
AIESEC PRAHA,EZ
AIESEC OLOMOUC,EZ
AIESEC CESKE BUDEJOVICE (CLOSED),EZ
AIESEC CZU PRAGUE,EZ
AIESEC KARVINA,EZ
AIESEC OSTRAVA,EZ
AIESEC AAU - DENMARK,DA
AIESEC AARHUS,DA
AIESEC SDU,DA
AIESEC CBS,DA
AIESEC SYD (CLOSED),DA
AIESEC UNI (CLOSED),DA
AIESEC UNIC,DA
AIESEC ESBJERG (CLOSED),DA
AIESEC ASB (CLOSED),DA
AIESEC VIA,DA
AIESEC UNPHU (CLOSED),DR
AIESEC UNAPEC,DR
AIESEC SANTO DOMINGO (CLOSED),DR
AIESEC PUCMM,DR
AIESEC SANTIAGO - DOMINICAN REPUBLIC,DR
AIESEC USFQ,EC
AIESEC CUENCA,EC
AIESEC UTPL (CLOSED),EC
AIESEC PUCE,EC
AIESEC UNMA,EC
AIESEC ESPOL (CLOSED),EC
AIESEC UCSG,EC
AIESEC SUEZ,EG
AIESEC ZAG,EG
AIESEC CAIRO UNIVERSITY,EG
AIESEC GUC,EG
AIESEC ZAGZIG,EG
AIESEC AUC,EG
AIESEC DAMIETTA,EG
AIESEC ALEXANDRIA,EG
AIESEC 6TH OCTOBER,EG
AIESEC MANSOURA,EG
AIESEC AAST (CLOSED),EG
AIESEC AAST IN CAIRO,EG
AIESEC MATIAS,ES
AIESEC ESEN,ES
AIESEC UCA,ES
AIESEC ESEN (CLOSED),ES
AIESEC TARTU,EN
AIESEC TUT,EN
AIESEC TLU,EN
AIESEC PARNU (CLOSED),EN
AIESEC EDBC TALINN (CLOSED),EN
AIESEC MEKELLE,ET
AIESEC HARAMAYA,ET
AIESEC EIABC,ET
AIESEC AAU - ETHIOPIA,ET
AIESEC UNITY UNIVERSITY,ET
AIESEC TAY (CLOSED),FI
AIESEC HAAGA HELIA,FI
AIESEC HUT (CLOSED),FI
AIESEC TY (CLOSED),FI
AIESEC SHS (CLOSED),FI
AIESEC LAPPI (CLOSED),FI
AIESEC OULU,FI
AIESEC SAIMAA,FI
AIESEC WAASA (CLOSED),FI
AIESEC TURKU (CLOSED),FI
AIESEC JAPPI (CLOSED),FI
AIESEC TAMPERE,FI
AIESEC JYVASKYLA,FI
AIESEC AALTO,FI
AIESEC HY,FI
AIESEC KY TURKU (CLOSED),FI
AIESEC TOULOUSE (CLOSED),FR
AIESEC PAU BEARN (CLOSED),FR
AIESEC DIJON (CLOSED),FR
AIESEC BORDEAUX,FR
AIESEC EDHEC (CLOSED),FR
AIESEC ESC ROUEN (CLOSED),FR
AIESEC RENNES (CLOSED),FR
AIESEC STRASBOURG EME/IECS,FR
AIESEC COMPIEGNE (CLOSED),FR
AIESEC IT SUDPARIS,FR
AIESEC NANCY (CLOSED),FR
AIESEC ESCP (CLOSED),FR
AIESEC CHAMBERY (CLOSED),FR
AIESEC GRENOBLE,FR
AIESEC SCIENCES PO PARIS,FR
AIESEC EDC (CLOSED),FR
AIESEC ESIEA (CLOSED),FR
AIESEC BELFORT (CLOSED),FR
AIESEC REIMS,FR
AIESEC ESIEA (CLOSED),FR
AIESEC LA ROCHELLE (CLOSED),FR
AIESEC LILLE,FR
AIESEC ESG (CLOSED),FR
AIESEC LE HAVRE (CLOSED),FR
AIESEC SUDPARIS (CLOSED),FR
AIESEC INSEEC (CLOSED),FR
AIESEC ESLSCA (CLOSED),FR
AIESEC MBA (CLOSED),FR
AIESEC BREST (CLOSED),FR
AIESEC SUP DE POITIERS (CLOSED),FR
AIESEC ANGERS (CLOSED),FR
AIESEC MARSEILLE,FR
AIESEC SKEMA NICE,FR
AIESEC NICE (CLOSED),FR
AIESEC ESCE POLE LEONARD DE VINCI (CLOSED),FR
AIESEC TOULOUSE,FR
AIESEC ISC (CLOSED),FR
AIESEC NANTES (CLOSED),FR
AIESEC ISCID (CLOSED),FR
AIESEC IUSO (CLOSED),GB
AIESEC UOB,GB
AIESEC IAI (CLOSED),GB
AIESEC AFRAM,GB
AIESEC UNIVERSITY OF GEORGIA,GG
AIESEC KUTAISI,GG
AIESEC TBILISI,GG
AIESEC HANNOVER,GM
AIESEC KAISERSLAUTERN,GM
AIESEC MAGDEBURG,GM
AIESEC MAINZ - WIESBADEN,GM
AIESEC KONSTANZ (CLOSED),GM
AIESEC BAYREUTH,GM
AIESEC SIEGEN (CLOSED),GM
AIESEC MUENSTER,GM
AIESEC ROSTOCK (CLOSED),GM
AIESEC STUTTGART-HOHENHEIM,GM
AIESEC INGOLSTADT (CLOSED),GM
AIESEC FRANKFURT (MAIN),GM
AIESEC PFORZHEIM (CLOSED),GM
AIESEC WERNIGERODE (CLOSED),GM
AIESEC LUENEBURG,GM
AIESEC BREMEN,GM
AIESEC BERLIN FU (CLOSED),GM
AIESEC CHEMNITZ (CLOSED),GM
AIESEC BRAUNSCHWEIG,GM
AIESEC MANNHEIM,GM
AIESEC ESSEN,GM
AIESEC HAMBURG,GM
AIESEC HALLE,GM
AIESEC TUEBINGEN-REUTLINGEN,GM
AIESEC BOCHUM,GM
AIESEC DUESSELDORF,GM
AIESEC JENA,GM
AIESEC WUPPERTAL,GM
AIESEC ULM,GM
AIESEC BAMBERG,GM
AIESEC TRIER (CLOSED),GM
AIESEC MUENCHEN,GM
AIESEC KARLSRUHE,GM
AIESEC AACHEN,GM
AIESEC WORMS (CLOSED),GM
AIESEC REGENSBURG,GM
AIESEC LEIPZIG,GM
AIESEC PADERBORN,GM
AIESEC KASSEL (CLOSED),GM
AIESEC GOETTINGEN,GM
AIESEC DARMSTADT,GM
