name
Oral Comprehension
Written Comprehension
Oral Expression
Written Expression
Fluency of Ideas
Originality
Problem Sensitivity
Deductive Reasoning
Inductive Reasoning
Information Ordering
Category Flexibility
Mathematical Reasoning
Number Facility
Memorization
Speed of Closure
Flexibility of Closure
Perceptual Speed
Spatial Orientation
Visualization
Selective Attention
Time Sharing
Arm-Hand Steadiness
Manual Dexterity
Finger Dexterity
Control Precision
Multilimb Coordination
Response Orientation
Rate Control
Reaction Time
Wrist-Finger Speed
Speed of Limb Movement
Static Strength
Explosive Strength
Dynamic Strength
Trunk Strength
Stamina
Extent Flexibility
Dynamic Flexibility
Gross Body Coordination
Gross Body Equilibrium
Near Vision
Far Vision
Visual Color Discrimination
Night Vision
Peripheral Vision
Depth Perception
Glare Sensitivity
Hearing Sensitivity
Auditory Attention
Sound Localization
Speech Recognition
Speech Clarity
